	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
ZNF250	0.627652	0.638485	0.62652	0.611412	0.603064	0.623024	0.608396	0.613899	0.622056	0.620553	0.616505	0.627369	0.624182	0.612953	0.616659	0.606809	0.609264	0.608906	0.610692	0.624737	0.598008	0.616686	0.614763	0.625607	0.610546	0.636775	0.607109	0.609013	0.645784
ZNF79	0.639519	0.617749	0.621789	0.616875	0.607937	0.616689	0.618769	0.610186	0.60865	0.616868	0.612374	0.618807	0.619379	0.61965	0.615003	0.612868	0.609617	0.619698	0.621226	0.622961	0.607461	0.617093	0.608394	0.608583	0.60914	0.639357	0.621525	0.613117	0.643844
ZNF681	0.512384	0.646659	0.645787	0.602101	0.619945	0.629955	0.602053	0.620561	0.659031	0.650499	0.629605	0.654177	0.650325	0.635152	0.628984	0.598046	0.592413	0.621246	0.618289	0.639368	0.594134	0.618175	0.587307	0.641096	0.615607	0.561497	0.619596	0.614191	0.669828
ZNF766	0.616211	0.621758	0.614764	0.616956	0.615037	0.618829	0.615728	0.619726	0.614178	0.619291	0.615598	0.628735	0.625124	0.618309	0.616797	0.613257	0.609785	0.608516	0.620634	0.619867	0.611776	0.612382	0.614753	0.621015	0.617322	0.61336	0.620279	0.616745	0.634336
LCOR	0.600073	0.602665	0.62037	0.610444	0.62209	0.608497	0.620977	0.621399	0.62627	0.610871	0.624837	0.613768	0.623319	0.620561	0.608801	0.607942	0.616958	0.615706	0.61811	0.61192	0.614496	0.616629	0.616691	0.623984	0.625467	0.633113	0.611462	0.616272	0.652189
ZNF107	0.591069	0.621294	0.6243	0.614816	0.620254	0.613547	0.612223	0.616398	0.626972	0.614802	0.626154	0.638271	0.627692	0.618125	0.617488	0.60801	0.59191	0.606025	0.619538	0.619303	0.615223	0.623478	0.609333	0.619024	0.620567	0.60915	0.63062	0.616273	0.645953
ZNF471	0.54404	0.693147	0.652228	0.6513	0.578059	0.676036	0.616936	0.569841	0.671763	0.681472	0.598825	0.558133	0.679168	0.627743	0.640494	0.605261	0.667222	0.627819	0.606268	0.673723	0.560984	0.605794	0.562654	0.63865	0.570457	0.601314	0.592547	0.618525	0.683484
ZNF836	0.632737	0.632755	0.616821	0.607516	0.615507	0.619068	0.611177	0.607373	0.612223	0.618298	0.631594	0.622629	0.620051	0.614478	0.615891	0.611325	0.608773	0.619727	0.617068	0.618821	0.607979	0.627625	0.607061	0.6191	0.614899	0.615491	0.611041	0.623697	0.632592
ZNF493	0.583689	0.651573	0.64185	0.620397	0.61271	0.617847	0.621393	0.607549	0.668393	0.627844	0.622985	0.618278	0.648093	0.61533	0.616981	0.606767	0.592996	0.596934	0.621336	0.628487	0.594078	0.613848	0.612327	0.624772	0.608334	0.592446	0.621004	0.607819	0.63755
GTF2IRD2	0.628321	0.624717	0.614378	0.613573	0.614857	0.61526	0.610895	0.606311	0.613182	0.61365	0.626607	0.612879	0.616133	0.610987	0.622636	0.608932	0.611298	0.616236	0.621774	0.611294	0.611945	0.628402	0.619352	0.610626	0.623777	0.631593	0.614073	0.620014	0.639548
